State,Total Beds 2018,Participation 2018,Total Beds 2017,Participation 2017,Total Beds 2016,Participation 2016,Total Beds 2015,Participation 2015,Total Beds 2014,Participation 2014,Total Beds 2013,Participation 2013,Total Beds 2012,Participation 2012,Total Beds 2011,Participation 2011,Total Beds 2010,Participation 2010,Total Beds 2009,Participation 2009,,
MN,6660,73.47%,7013,74.33%,6871,72.35%,6779,70.97%,7336,72.97%,7126,76.60%,"6,879",74.30%,"6,973",73.40%,"7,325",76.20%,"7,171",81.40%,,
MO,5624,50.30%,6057,55.41%,6529,54.04%,6700,42.30%,7284,41.25%,7761,70.10%,"8,253",64.50%,"8,136",75.40%,"7,440",76.70%,"7,391",74.20%,,
MP,30,0.00%,41,0.00%,1383,56.33%,1498,58.34%,1607,59.86%,1823,72.70%,"1,542",72.10%,"1,373",46.30%,"1,376",46.40%,"1,451",46.10%,,
MS,1079,58.29%,1322,49.70%,1257,27.61%,1224,31.62%,1337,33.81%,1493,39.40%,"1,411",34.80%,"1,207",50.30%,"1,170",52.60%,"1,214",55.60%,,
MT,1376,10.97%,1290,11.24%,8641,64.80%,9337,62.15%,9724,64.84%,10834,78.90%,"10,071",79.30%,"10,277",72.30%,"9,968",74.00%,"9,639",70.50%,,
NC,7963,66.72%,8002,65.68%,980,65.10%,966,73.81%,936,66.13%,729,90.30%,724,97.10%,739,99.30%,850,100.00%,790,94.70%,,
ND,726,67.22%,1034,66.73%,2733,69.56%,2973,65.72%,3446,69.12%,3728,87.60%,"3,667",88.20%,"3,807",83.90%,"3,490",81.60%,"3,189",79.70%,,
NE,2390,58.95%,2569,65.94%,1476,73.92%,1369,79.04%,1398,81.69%,1410,91.50%,"1,353",90.20%,"1,360",88.90%,"1,374",89.70%,"1,356",90.80%,,
NH,1349,80.95%,1383,79.39%,7127,83.08%,7737,82.24%,7561,83.22%,8285,94.20%,"7,882",93.50%,"7,576",95.30%,"6,845",97.40%,"6,809",95.70%,,
NJ,7099,83.50%,7001,80.47%,1880,42.61%,2277,39.48%,2325,38.19%,2592,51.60%,"2,545",44.80%,"2,797",50.50%,"2,692",56.10%,"2,743",54.10%,,
NM,1651,38.16%,1674,40.50%,3577,79.90%,4466,86.59%,5175,85.78%,3929,88.00%,"4,630",65.50%,"4,775",55.80%,"3,971",76.10%,"8,397",36.30%,,
NV,3033,78.80%,3331,76.88%,84730,88.12%,86578,84.89%,78506,83.65%,75992,88.90%,"69,190",90.30%,"64,083",88.80%,"63,841",90.60%,"60,070",90.80%,,
NY,88063,85.15%,87836,92.36%,9844,76.27%,10273,74.09%,10759,72.08%,13301,87.70%,"12,499",85.70%,"11,693",86.30%,"11,324",86.10%,"10,757",88.30%,,
OH,9269,72.88%,9420,73.41%,3762,57.47%,3804,62.09%,3880,61.42%,4211,70.40%,"4,013",68.80%,"3,632",68.00%,"3,633",63.40%,"3,661",49.00%,,
OK,3339,58.52%,3678,57.97%,5791,55.97%,6144,53.30%,6924,55.30%,7922,64.40%,"7,249",58.00%,"7,377",57.90%,"7,640",54.40%,"8,563",57.20%,,
OR,6419,53.59%,6648,59.55%,15682,73.17%,16140,74.83%,15922,75.71%,16370,85.40%,"16,050",84.70%,"16,363",82.70%,"15,745",84.10%,"16,112",85.20%,,
PA,12909,71.45%,14246,69.68%,2000,77.90%,2112,78.84%,1962,78.39%,2003,95.00%,"2,199",85.30%,"2,053",96.60%,"2,019",88.70%,"2,038",72.10%,,
PR,955,80.31%,1531,79.82%,1122,72.19%,1142,76.36%,1225,77.96%,1181,94.10%,"1,162",92.30%,"1,300",85.30%,"1,215",89.30%,"1,450",80.30%,,
RI,1003,72.48%,1069,71.19%,3721,56.38%,3755,55.26%,3473,64.04%,4149,84.10%,"4,825",67.00%,"3,791",74.70%,"3,508",77.40%,"4,261",78.40%,,
SC,3001,61.95%,2931,65.34%,1157,38.29%,1460,45.41%,1747,33.60%,1588,37.80%,"1,444",42.00%,"1,319",32.40%,"1,379",34.80%,"1,379",35.90%,,
SD,1090,15.60%,1356,22.12%,6979,55.09%,6981,50.21%,6791,55.43%,6979,57.00%,"6,492",60.80%,"6,746",59.50%,"6,202",64.10%,"5,725",70.80%,,
TN,5674,48.13%,6326,74.09%,20297,58.53%,20812,55.15%,22443,54.52%,22582,63.30%,"22,880",69.30%,"24,323",67.40%,"22,393",63.70%,"22,449",61.40%,,
TX,18006,58.77%,19344,61.47%,2499,60.82%,2760,63.95%,2740,65.77%,3188,91.80%,"3,020",85.40%,"2,954",82.30%,"2,922",89.00%,"3,215",78.30%,,
UT,2968,65.46%,2754,68.85%,5942,64.79%,6077,67.02%,6274,63.98%,7935,80.20%,"7,514",75.00%,"7,690",74.60%,"7,949",71.80%,"7,947",62.10%,,
VA,5303,65.62%,5628,64.96%,143,57.34%,128,48.44%,127,55.12%,151,87.60%,158,100.00%,195,100.00%,148,64.70%,123,103.80%,,
VI,205,33.17%,132,65.91%,752,43.35%,903,24.70%,1040,27.50%,1414,18.30%,981,58.70%,805,69.60%,786,60.50%,791,58.80%,,
VT,937,66.81%,961,49.12%,14627,69.44%,14476,68.07%,14886,68.23%,18551,83.90%,"16,966",81.90%,"16,669",81.00%,"18,071",78.50%,"17,927",70.60%,,
WA,15016,65.51%,14288,68.34%,6404,69.58%,6703,70.16%,6504,71.26%,6701,89.10%,"6,384",90.10%,"6,692",89.50%,"6,008",86.40%,"5,989",87.50%,,
WI,4721,69.33%,5525,68.85%,1731,67.88%,1815,62.42%,1965,65.80%,1980,65.10%,"1,874",68.80%,"1,878",70.90%,"2,002",73.20%,"1,853",70.10%,,
WV,1593,64.97%,1657,63.55%,812,63.42%,853,59.20%,815,41.47%,905,70.20%,817,77.10%,753,72.00%,904,40.70%,739,35.30%,,
WY,560,71.61%,698,72.06%,411285,72.72%,426267,71.04%,424880,71.02%,446078,,"428,527",,"429,835",,"424,432",,"424,042",,,
Total,389622,70.88%,399439,72.64%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
