State,Year,Total Beds,Participation
TN,2017,5674,0.4813
TN,2018,5674,0.4813
TX,2009,22449,0.614
TX,2010,22393,0.637
TX,2011,24323,0.674
TX,2012,22880,0.693
TX,2013,22582,0.633
TX,2014,22443,0.5452
TX,2015,20812,0.5515
TX,2016,20297,0.5853
TX,2017,18006,0.5877
TX,2018,18006,0.5877
UT,2009,3215,0.7829999999999999
UT,2010,2922,0.89
UT,2011,2954,0.823
UT,2012,3020,0.8540000000000001
UT,2013,3188,0.9179999999999999
UT,2014,2740,0.6577
UT,2015,2760,0.6395
UT,2016,2499,0.6082
UT,2017,2968,0.6546
UT,2018,2968,0.6546
VA,2009,7947,0.621
VA,2010,7949,0.718
VA,2011,7690,0.746
VA,2012,7514,0.75
VA,2013,7935,0.802
VA,2014,6274,0.6398
VA,2015,6077,0.6702
VA,2016,5942,0.6479
VA,2017,5303,0.6562
VA,2018,5303,0.6562
VI,2009,123,1.038
VI,2010,148,0.647
VI,2011,195,1.0
VI,2012,158,1.0
VI,2013,151,0.8759999999999999
VI,2014,127,0.5512
VI,2015,128,0.4844
VI,2016,143,0.5734
VI,2017,205,0.3317
VI,2018,205,0.3317
VT,2009,791,0.588
VT,2010,786,0.605
VT,2011,805,0.696
VT,2012,981,0.5870000000000001
VT,2013,1414,0.183
VT,2014,1040,0.275
VT,2015,903,0.247
VT,2016,752,0.4335
VT,2017,937,0.6681
VT,2018,937,0.6681
WA,2009,17927,0.706
WA,2010,18071,0.785
WA,2011,16669,0.81
WA,2012,16966,0.8190000000000001
WA,2013,18551,0.8390000000000001
WA,2014,14886,0.6823
WA,2015,14476,0.6807
WA,2016,14627,0.6944
WA,2017,15016,0.6551
WA,2018,15016,0.6551
WI,2009,5989,0.875
WI,2010,6008,0.8640000000000001
WI,2011,6692,0.895
WI,2012,6384,0.9009999999999999
WI,2013,6701,0.8909999999999999
WI,2014,6504,0.7126
WI,2015,6703,0.7016
WI,2016,6404,0.6958
WI,2017,4721,0.6933
WI,2018,4721,0.6933
WV,2009,1853,0.701
WV,2010,2002,0.732
WV,2011,1878,0.7090000000000001
WV,2012,1874,0.688
WV,2013,1980,0.6509999999999999
WV,2014,1965,0.6579999999999999
WV,2015,1815,0.6242
WV,2016,1731,0.6788
WV,2017,1593,0.6497
WV,2018,1593,0.6497
WY,2009,739,0.353
WY,2010,904,0.40700000000000003
WY,2011,753,0.72
WY,2012,817,0.7709999999999999
WY,2013,905,0.7020000000000001
WY,2014,815,0.4147
WY,2015,853,0.5920000000000001
WY,2016,812,0.6342
WY,2017,560,0.7161
WY,2018,560,0.7161
