,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
GU,240,177,172,0.972,93,147,0,35,147,93,93,38,38,1,0,7,10,39,54,147,147,139,134,0.964,25,108,39,0,0,0,0,0,0,88,88,88,88,1,55,9,33,55
HI,4259,4055,4017,0.991,1470,2764,25,779,2941,1318,1470,1306,1268,0.971,0,64,202,825,645,2764,2764,2724,2724,1,577,2116,648,25,25,25,25,1,25,1051,1051,1051,915,0.871,344,69,243,808
IA,3978,3235,2743,0.848,1587,2391,0,657,2180,1798,1587,1098,801,0.73,68,42,185,691,896,2391,2391,2137,1942,0.909,472,1489,902,0,0,0,0,0,0,885,885,885,712,0.805,161,139,435,450
ID,1905,1510,960,0.636,981,924,0,330,978,927,981,708,339,0.479,156,197,150,408,573,924,924,802,621,0.774,180,570,354,0,0,0,0,0,0,406,406,406,363,0.894,140,67,180,226
IL,13555,12210,9078,0.743,5485,7968,102,2222,7210,6345,5485,4677,2747,0.587,812,1273,528,1843,3642,7968,7968,7431,6229,0.838,1694,5367,2601,102,102,102,102,1,102,10749,10749,10715,7741,0.722,2795,1237,3685,7064
IN,7661,6179,3375,0.546,3760,3876,25,1167,3725,3936,3760,2808,1541,0.549,271,399,548,1818,1942,3876,3876,3346,1809,0.541,619,1907,1969,25,25,25,25,1,25,2529,2529,2521,1589,0.63,530,481,1181,1348
KS,2787,2222,1489,0.67,1622,1145,20,452,1475,1312,1622,1164,798,0.686,153,114,227,783,839,1145,1145,1038,671,0.646,225,692,453,20,20,20,20,1,20,1024,1024,1024,827,0.808,296,108,341,683
KY,5556,4720,3873,0.821,2661,2883,12,970,2543,3013,2661,2169,1819,0.839,67,167,288,839,1822,2883,2883,2539,2042,0.804,682,1704,1179,12,12,12,12,1,12,2629,2629,2377,1816,0.764,368,532,1318,1311
LA,5148,4350,3416,0.785,1900,3223,25,665,2149,2999,1900,1364,1074,0.787,124,268,226,784,1116,3223,3223,2961,2317,0.783,439,1365,1858,25,25,25,25,1,25,2841,2841,2803,2663,0.95,553,322,1000,1841
MA,15509,14461,12339,0.853,10673,4812,24,3252,9908,5601,10673,10104,8949,0.886,242,1191,2493,7859,2814,4812,4812,4333,3372,0.778,759,2049,2763,24,24,24,18,0.75,24,8881,8881,8719,6143,0.705,3229,888,2298,6583
MD,5900,5418,4725,0.872,2691,3105,104,871,2926,2974,2691,2341,2031,0.868,1062,573,315,1218,1473,3105,3105,2973,2590,0.871,556,1708,1397,104,104,104,104,1,104,5166,5166,5166,5059,0.979,795,1164,3113,2053
ME,2724,2358,2122,0.9,1047,1677,0,538,1584,1140,1047,865,794,0.918,29,107,159,448,599,1677,1677,1493,1328,0.889,379,1136,541,0,0,0,0,0,0,1870,1870,1841,1651,0.897,145,248,754,1116
MI,11822,9528,8531,0.895,5568,6211,43,2030,6191,5631,5568,4363,3861,0.885,1001,393,730,2292,3276,6211,6211,5122,4627,0.903,1300,3899,2312,43,43,43,43,1,43,11987,11987,11811,9357,0.792,1226,2485,7481,4506
MN,7325,6496,4948,0.762,3389,3926,10,1433,4900,2425,3389,2731,1928,0.706,93,705,495,1854,1535,3926,3926,3755,3010,0.802,938,3046,880,10,10,10,10,1,10,7846,7846,7835,6452,0.823,1462,1360,4589,3257
MO,7440,5639,4323,0.767,3674,3719,47,1286,4042,3398,3674,2296,1803,0.785,125,474,603,1832,1842,3719,3719,3296,2473,0.75,683,2210,1509,47,47,47,47,1,47,3934,3934,3934,3875,0.985,511,916,2438,1496
MS,1376,1048,486,0.464,736,640,0,186,539,837,736,476,166,0.349,0,17,94,276,460,640,640,572,320,0.559,92,263,377,0,0,0,0,0,0,305,305,248,187,0.754,142,21,70,235
MT,1170,874,460,0.526,649,521,0,203,602,568,649,476,163,0.342,6,171,89,279,370,521,521,398,297,0.746,114,323,198,0,0,0,0,0,0,229,229,229,229,1,47,18,47,182
NC,9968,8611,6374,0.74,5391,4577,0,1109,3744,6224,5391,4286,3480,0.812,465,554,499,1832,3559,4577,4577,4325,2894,0.669,610,1912,2665,0,0,0,0,0,0,3328,3328,3320,2807,0.845,674,584,1529,1799
ND,850,601,601,1,647,203,0,116,385,465,647,485,485,1,0,38,85,273,374,203,203,116,116,1,31,112,91,0,0,0,0,0,0,480,480,480,455,0.948,97,74,198,282
NE,3490,3068,2505,0.816,1620,1870,0,637,1806,1684,1620,1336,1123,0.841,0,574,222,713,907,1870,1870,1732,1382,0.798,415,1093,777,0,0,0,0,0,0,645,645,645,319,0.495,57,81,210,435
NH,1374,1213,1088,0.897,670,695,9,257,751,623,670,528,522,0.989,93,26,95,314,356,695,695,676,557,0.824,162,437,258,9,9,9,9,1,9,870,870,870,785,0.902,200,155,411,459
NJ,6845,5917,5763,0.974,4255,2570,20,1302,3589,3256,4255,3705,3602,0.972,271,6363,695,1941,2314,2570,2570,2192,2141,0.977,607,1648,922,20,20,20,20,1,20,2791,2791,2761,2549,0.923,882,272,785,2006
NM,2692,1621,910,0.561,1484,1208,0,320,1400,1292,1484,706,300,0.425,595,25,101,716,768,1208,1208,915,610,0.667,219,684,524,0,0,0,0,0,0,1271,1271,1271,840,0.661,363,175,478,793
NV,3971,3625,2759,0.761,1479,2467,25,471,1396,2575,1479,1169,979,0.837,284,420,185,564,915,2467,2467,2431,1755,0.722,286,832,1635,25,25,25,25,1,25,1830,1830,1830,891,0.487,326,141,356,1474
NY,63841,59519,53904,0.906,50783,12918,140,13356,41594,22247,50783,47931,43839,0.915,225,1918,11657,36205,14578,12918,12918,11448,9931,0.867,1699,5389,7529,140,140,140,134,0.957,140,35514,35514,35052,24885,0.71,6804,4116,12277,23237
OH,11324,10084,8683,0.861,6575,4635,114,1542,4634,6690,6575,5646,4812,0.852,295,491,684,2173,4402,4635,4635,4324,3757,0.869,858,2461,2174,114,114,114,114,1,114,11489,11489,11489,8538,0.743,2749,1661,4216,7273
OK,3633,2932,1860,0.634,2518,1065,50,457,1324,2309,2518,1938,1073,0.554,0,332,275,812,1706,1065,1065,944,737,0.781,182,512,553,50,50,50,50,1,50,608,608,580,492,0.848,278,61,184,424
OR,7640,6879,3741,0.544,3026,4571,43,1210,3584,4056,3026,2516,683,0.271,369,479,348,1050,1976,4571,4571,4320,3015,0.698,862,2534,2037,43,43,43,43,1,43,4836,4836,4836,2642,0.546,858,734,1964,2872
PA,15745,13913,11707,0.841,7889,7683,173,2882,9058,6687,7889,6820,5309,0.778,856,682,1060,3482,4407,7683,7683,6920,6225,0.9,1822,5576,2107,173,173,173,173,1,173,8300,8300,8218,7411,0.902,1617,1375,4073,4227
PR,2019,1635,1451,0.887,613,1374,32,170,481,1538,613,401,396,0.988,0,0,36,196,417,1374,1374,1202,1023,0.851,134,285,1089,32,32,32,32,1,32,1256,1256,1197,722,0.603,248,169,370,886
RI,1215,1092,975,0.893,771,427,17,215,574,641,771,676,610,0.902,6,23,105,319,452,427,427,399,348,0.872,110,255,172,17,17,17,17,1,17,1321,1321,1321,1114,0.843,343,216,644,677
SC,3508,3019,2336,0.774,1542,1954,12,435,1567,1941,1542,1074,890,0.829,433,414,156,758,784,1954,1954,1933,1434,0.742,279,809,1145,12,12,12,12,1,12,1300,1300,1200,1029,0.858,264,204,573,727
SD,1379,1000,348,0.348,716,663,0,224,643,736,716,337,157,0.466,0,42,139,405,311,663,663,663,191,0.288,85,238,425,0,0,0,0,0,0,257,257,257,221,0.86,145,25,85,172
TN,6202,5491,3520,0.641,3120,3058,24,639,2074,4128,3120,2623,1287,0.491,262,897,268,841,2279,3058,3058,2844,2217,0.78,371,1233,1825,24,24,24,16,0.667,24,2843,2843,2824,2598,0.92,816,399,1002,1841
TX,22393,17980,11447,0.637,12741,9470,182,3025,10052,12341,12741,9829,5613,0.571,346,1807,1368,4881,7860,9470,9470,7969,5668,0.711,1657,5171,4299,182,182,182,166,0.912,182,6550,6550,6324,4931,0.78,1895,930,2618,3932
UT,2922,2094,1864,0.89,1410,1463,49,485,1664,1258,1410,984,873,0.887,452,188,178,659,751,1463,1463,1061,942,0.888,307,1005,458,49,49,49,49,1,49,1495,1495,1495,1305,0.873,579,195,559,936
VA,7949,6736,4835,0.718,3726,4002,221,1360,4514,3435,3726,2861,2084,0.728,1170,434,585,1857,1869,4002,4002,3654,2695,0.738,775,2657,1345,221,221,221,56,0.253,221,2164,2164,2164,1751,0.809,649,192,586,1578
VI,148,116,75,0.647,61,87,0,8,29,119,61,29,29,1,15,0,7,25,36,87,87,87,46,0.529,1,4,83,0,0,0,0,0,0,43,43,43,43,1,24,3,6,37
VT,786,668,404,0.605,395,385,6,152,389,397,395,312,227,0.728,44,24,74,214,181,385,385,350,171,0.489,78,175,210,6,6,6,6,1,6,321,321,321,244,0.76,112,17,44,277
WA,18071,16058,12603,0.785,6144,11871,56,3646,11669,6402,6144,5251,3838,0.731,936,372,725,2533,3611,11871,11871,10751,8709,0.81,2921,9136,2735,56,56,56,56,1,56,7599,7599,7556,5638,0.746,2443,803,2500,5099
WI,6008,4671,4034,0.864,2992,2952,64,1162,3660,2348,2992,2159,1813,0.84,186,427,480,1647,1345,2952,2952,2448,2157,0.881,682,2013,939,64,64,64,64,1,64,2039,2039,2034,1824,0.897,216,252,781,1258
WV,2002,1678,1228,0.732,1244,746,12,255,703,1299,1244,1002,722,0.721,17,89,147,380,864,746,746,664,494,0.744,108,323,423,12,12,12,12,1,12,503,503,503,448,0.891,169,48,98,405
WY,904,626,255,0.407,558,346,0,149,430,474,558,308,113,0.367,0,97,88,259,299,346,346,318,142,0.447,61,171,175,0,0,0,0,0,0,123,123,123,8,0.065,13,0,0,123
Total,424432,370704,287730,,221610,200623,2199,68063,217462,206970,221610,186656,146704,,19668,32393,32878,107950,113660,200623,200623,181849,139053,,35185,109512,91111,2199,2199,2199,1973,,2199,236798,236798,234267,171472,,55256,33060,95353,141445
