,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
IL,13045,11715,8867,0.757,5595,7348,102,2073,6601,6444,5595,4789,2914,0.608,759,1192,477,1604,3991,7348,7348,6824,5851,0.857,1596,4997,2351,102,102,102,102,1,102,10833,10833,10833,8875,0.819,2559,1364,3936,6897
IN,7245,5846,3573,0.611,3838,3382,25,1228,3883,3362,3838,2914,1704,0.585,346,410,615,1971,1867,3382,3382,2907,1844,0.634,613,1912,1470,25,25,25,25,1,25,2195,2195,2187,1683,0.77,436,280,771,1424
KS,2942,2358,1514,0.642,1710,1212,20,485,1595,1347,1710,1251,827,0.661,145,159,238,822,888,1212,1212,1087,667,0.614,247,773,439,20,20,20,20,1,20,1147,1147,1147,726,0.633,430,88,249,898
KY,5389,4622,3154,0.682,2573,2804,12,898,2359,3030,2573,2057,1425,0.693,32,256,394,973,1600,2804,2804,2553,1717,0.673,504,1386,1418,12,12,12,12,1,12,3095,3095,2814,2295,0.816,630,575,1543,1552
LA,5073,4384,3386,0.772,1865,3171,37,631,2064,3009,1865,1358,961,0.708,59,230,206,779,1086,3171,3171,2989,2388,0.799,425,1285,1886,37,37,37,37,1,37,3174,3174,3138,2726,0.869,774,335,955,2219
MA,14567,13597,11914,0.876,9871,4658,38,2980,9096,5471,9871,9404,8623,0.917,291,2112,2247,7127,2744,4658,4658,4155,3253,0.783,733,1969,2689,38,38,38,38,1,38,10161,10161,10011,6933,0.693,3658,1029,2750,7411
MD,6284,5769,4782,0.829,2866,3314,104,871,2951,3333,2866,2486,2098,0.844,1041,600,303,1229,1637,3314,3314,3179,2580,0.812,568,1722,1592,104,104,104,104,1,104,5978,5978,5978,5207,0.871,769,1180,3259,2719
ME,2801,2416,2136,0.884,1080,1706,15,578,1608,1193,1080,900,768,0.853,10,90,196,488,592,1706,1706,1501,1353,0.901,382,1120,586,15,15,15,15,1,15,1948,1948,1912,1786,0.934,172,255,764,1184
MI,12108,9768,8498,0.87,5711,6354,43,2088,6254,5854,5711,4494,3845,0.856,628,457,775,2353,3358,6354,6354,5231,4610,0.881,1313,3901,2453,43,43,43,43,1,43,14556,14556,14291,10305,0.721,1234,2838,8567,5989
MN,6973,6166,4523,0.734,3598,3354,21,1730,4760,2213,3598,2931,1933,0.66,93,751,721,2132,1466,3354,3354,3214,2580,0.803,1009,2628,726,21,21,21,10,0.476,21,8698,8698,8651,6954,0.804,2662,1656,4921,3777
MO,8136,6007,4527,0.754,4140,3945,51,1471,4172,3964,4140,2425,1839,0.758,202,350,743,2059,2081,3945,3945,3531,2652,0.751,728,2113,1832,51,51,51,36,0.706,51,3887,3887,3887,3504,0.901,551,1257,2434,1453
MS,1373,1151,533,0.463,689,681,3,190,694,679,689,504,215,0.427,0,58,85,388,301,681,681,644,315,0.489,105,306,375,3,3,3,3,1,3,310,310,304,159,0.523,158,23,54,256
MT,1207,875,440,0.503,699,508,0,219,646,561,699,490,168,0.343,12,119,104,324,375,508,508,385,272,0.706,115,322,186,0,0,0,0,0,0,330,330,330,248,0.752,66,26,61,269
NC,10277,8889,6423,0.723,5618,4659,0,1204,3814,6463,5618,4500,3724,0.828,489,600,583,1960,3658,4659,4659,4389,2699,0.615,621,1854,2805,0,0,0,0,0,0,4273,4273,4265,3298,0.773,976,721,2004,2269
ND,739,539,535,0.993,585,154,0,104,324,415,585,450,446,0.991,0,45,81,234,351,154,154,89,89,1,23,90,64,0,0,0,0,0,0,479,479,479,388,0.81,95,62,141,338
NE,3807,3229,2710,0.839,1873,1934,0,666,1987,1820,1873,1477,1238,0.838,0,529,253,862,1011,1934,1934,1752,1472,0.84,413,1125,809,0,0,0,0,0,0,818,818,818,380,0.465,66,144,329,489
NH,1360,1176,1046,0.889,658,693,9,250,744,616,658,504,480,0.952,90,27,93,287,371,693,693,663,557,0.84,157,457,236,9,9,9,9,1,9,1056,1056,1056,889,0.842,210,177,487,569
NJ,7576,6634,6319,0.953,4702,2846,28,1399,3981,3595,4702,4153,3904,0.94,260,6979,728,2021,2681,2846,2846,2453,2387,0.973,671,1960,886,28,28,28,28,1,28,3989,3989,3959,3057,0.772,1026,435,1227,2762
NM,2797,1727,872,0.505,1629,1168,0,452,1555,1242,1629,851,301,0.354,511,15,208,826,803,1168,1168,876,571,0.652,244,729,439,0,0,0,0,0,0,1446,1446,1446,920,0.636,430,185,481,965
NV,4775,4407,2460,0.558,1483,3267,25,533,1639,3136,1483,1185,999,0.843,288,367,182,615,868,3267,3267,3197,1436,0.449,351,1024,2243,25,25,25,25,1,25,2328,2328,2328,1014,0.436,475,235,658,1670
NY,64083,59646,52993,0.888,51653,12287,143,13002,40201,23882,51653,48835,45042,0.922,245,2152,11357,35028,16625,12287,12287,10677,7817,0.732,1645,5173,7114,143,143,134,134,1,143,39582,39582,39206,23158,0.591,8725,4479,13421,26161
OH,11693,10557,9107,0.863,6097,5500,96,1888,5471,6222,6097,5295,4467,0.844,253,539,832,2372,3725,5500,5500,5166,4544,0.88,1056,3099,2401,96,96,96,96,1,96,11834,11834,11834,10191,0.861,3032,1591,4163,7671
OK,3632,2938,1998,0.68,2531,1042,59,614,1540,2092,2531,1957,1231,0.629,0,295,400,978,1553,1042,1042,922,717,0.778,214,562,480,59,59,59,50,0.847,59,846,846,816,580,0.711,331,63,185,661
OR,7377,6615,3828,0.579,2724,4610,43,1389,3833,3544,2724,2279,602,0.264,297,581,377,1044,1680,4610,4610,4293,3183,0.741,1012,2789,1821,43,43,43,43,1,43,4920,4920,4914,2945,0.599,1036,541,1546,3374
PA,16363,14455,11950,0.827,8148,8042,173,2853,9156,7207,8148,7012,5452,0.778,744,371,1114,3688,4460,8042,8042,7270,6325,0.87,1739,5468,2574,173,173,173,173,1,173,9895,9895,9808,8483,0.865,1725,1574,5031,4864
PR,2053,1628,1573,0.966,618,1358,77,171,514,1539,618,403,394,0.978,0,0,36,154,464,1358,1358,1148,1111,0.968,135,360,998,77,77,77,68,0.883,77,1068,1068,1068,793,0.743,423,151,326,742
RI,1300,1170,998,0.853,767,515,18,270,662,638,767,657,577,0.878,117,23,138,345,422,515,515,495,404,0.816,132,317,198,18,18,18,17,0.944,18,1731,1731,1731,1291,0.746,294,201,652,1079
SC,3791,3295,2463,0.747,1687,2092,12,423,1580,2211,1687,1234,937,0.759,458,396,147,713,974,2092,2092,2049,1514,0.739,276,867,1225,12,12,12,12,1,12,1478,1478,1391,1128,0.811,275,191,632,846
SD,1319,947,307,0.324,718,601,0,257,713,606,718,346,164,0.474,0,42,162,451,267,601,601,601,143,0.238,95,262,339,0,0,0,0,0,0,281,281,281,245,0.872,121,49,133,148
TN,6746,5957,3544,0.595,3159,3563,24,762,2405,4341,3159,2615,1409,0.539,295,530,348,1050,2109,3563,3563,3318,2111,0.636,414,1355,2208,24,24,24,24,1,24,3721,3721,3627,2711,0.747,1060,583,1402,2319
TX,24323,19918,13434,0.674,13235,10902,186,3409,10874,13449,13235,10371,7034,0.678,183,1024,1538,5217,8018,10902,10902,9361,6230,0.666,1871,5657,5245,186,186,186,170,0.914,186,9055,9055,8849,5836,0.66,2592,1206,3654,5401
UT,2954,2124,1749,0.823,1501,1404,49,448,1608,1346,1501,1045,839,0.803,562,181,189,703,798,1404,1404,1030,861,0.836,259,905,499,49,49,49,49,1,49,1593,1593,1593,1422,0.893,567,179,599,994
VA,7690,6506,4854,0.746,3734,3899,57,1351,4511,3179,3734,2922,2058,0.704,1062,500,603,1893,1841,3899,3899,3527,2739,0.777,748,2618,1281,57,57,57,57,1,57,2759,2759,2697,1724,0.639,783,301,891,1868
VI,195,141,141,1,71,124,0,34,72,123,71,37,37,1,0,0,12,44,27,124,124,104,104,1,22,28,96,0,0,0,0,0,0,52,52,52,35,0.673,14,17,26,26
VT,805,609,424,0.696,454,345,6,170,469,336,454,349,264,0.756,51,17,93,257,197,345,345,254,154,0.606,77,212,133,6,6,6,6,1,6,493,493,493,375,0.761,159,39,104,389
WA,16669,14875,12051,0.81,6269,10345,55,3350,10690,5979,6269,5395,4209,0.78,762,456,824,2812,3457,10345,10345,9425,7787,0.826,2526,7878,2467,55,55,55,55,1,55,8599,8599,8562,6098,0.712,2699,801,2475,6124
WI,6692,5319,4763,0.895,3324,3304,64,1335,4029,2663,3324,2425,2134,0.88,183,368,586,1793,1531,3304,3304,2830,2565,0.906,749,2236,1068,64,64,64,64,1,64,2516,2516,2511,2185,0.87,203,256,873,1643
WV,1878,1571,1114,0.709,1204,663,11,238,740,1138,1204,1001,697,0.696,56,71,120,379,825,663,663,559,406,0.726,118,361,302,11,11,11,11,1,11,815,815,815,661,0.811,254,62,168,647
WY,753,521,375,0.72,514,239,0,141,368,385,514,324,228,0.704,0,31,90,233,281,239,239,197,147,0.746,51,135,104,0,0,0,0,0,0,127,127,127,14,0.11,14,0,0,127
Total,429835,375613,292160,,225840,201879,2116,70789,221083,208752,225840,190684,150555,,18952,32567,34987,110703,115137,201879,201879,182822,139561,,35802,110380,91499,2116,2116,2107,2044,,2116,267106,267106,264945,183682,,67964,37213,105981,161125
